TYPE,NAME,CONTEXT,LANGUAGE,FILE,LINE_NUMBER,SPLIT_IDENTIFIER,GRAMMAR_PATTERN,IDENTIFIER_ID,POSITION,NORMALIZED_POSITION,CONTEXT_NUMBER,WORD,CORRECT_TAG
bool,is_1x1_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,93,is 1 x 1,V D P D,0,0,0,1,is,V
bool,is_1x1_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,93,is 1 x 1,V D P D,0,1,1,1,1,D
bool,is_1x1_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,93,is 1 x 1,V D P D,0,2,1,1,x,P
bool,is_1x1_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,93,is 1 x 1,V D P D,0,3,2,1,1,D
bool,force_nd_im2col_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,94,force nd im 2 col,V NM N P N,1,0,0,1,force,V
bool,force_nd_im2col_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,94,force nd im 2 col,V NM N P N,1,1,1,1,nd,NM
bool,force_nd_im2col_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,94,force nd im 2 col,V NM N P N,1,2,1,1,im,N
bool,force_nd_im2col_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,94,force nd im 2 col,V NM N P N,1,3,1,1,2,P
bool,force_nd_im2col_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,94,force nd im 2 col,V NM N P N,1,4,2,1,col,N
int,num_kernels_im2col_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,159,num kernels im 2 col,NM NPL N P N,2,0,0,1,num,NM
int,num_kernels_im2col_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,159,num kernels im 2 col,NM NPL N P N,2,1,1,1,kernels,NPL
int,num_kernels_im2col_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,159,num kernels im 2 col,NM NPL N P N,2,2,1,1,im,N
int,num_kernels_im2col_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,159,num kernels im 2 col,NM NPL N P N,2,3,1,1,2,P
int,num_kernels_im2col_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,159,num kernels im 2 col,NM NPL N P N,2,4,2,1,col,N
int,num_kernels_col2im_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,160,num kernels col 2 im,NM NPL N P N,3,0,0,1,num,NM
int,num_kernels_col2im_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,160,num kernels col 2 im,NM NPL N P N,3,1,1,1,kernels,NPL
int,num_kernels_col2im_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,160,num kernels col 2 im,NM NPL N P N,3,2,1,1,col,N
int,num_kernels_col2im_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,160,num kernels col 2 im,NM NPL N P N,3,3,1,1,2,P
int,num_kernels_col2im_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,160,num kernels col 2 im,NM NPL N P N,3,4,2,1,im,N
bool,skip_im2col,PARAMETER,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,46,skip im 2 col,V N P N,4,0,0,5,skip,V
bool,skip_im2col,PARAMETER,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,46,skip im 2 col,V N P N,4,1,1,5,im,N
bool,skip_im2col,PARAMETER,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,46,skip im 2 col,V N P N,4,2,1,5,2,P
bool,skip_im2col,PARAMETER,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,46,skip im 2 col,V N P N,4,3,2,5,col,N
void,tempData2,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/cudnn_lcn_layer.hpp,43,temp Data 2,NM N D,5,0,0,1,temp,NM
void,tempData2,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/cudnn_lcn_layer.hpp,43,temp Data 2,NM N D,5,1,1,1,data,N
void,tempData2,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/cudnn_lcn_layer.hpp,43,temp Data 2,NM N D,5,2,2,1,2,D
void,tempData1,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/cudnn_lcn_layer.hpp,43,temp Data 1,NM N D,6,0,0,1,temp,NM
void,tempData1,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/cudnn_lcn_layer.hpp,43,temp Data 1,NM N D,6,1,1,1,data,N
void,tempData1,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/cudnn_lcn_layer.hpp,43,temp Data 1,NM N D,6,2,2,1,1,D
class,Im2colLayer,CLASS,C++,cloned_repositories/caffe.git/include/caffe/layers/im2col_layer.hpp,60,Im 2 col Layer,N P N N,7,0,0,2,im,N
class,Im2colLayer,CLASS,C++,cloned_repositories/caffe.git/include/caffe/layers/im2col_layer.hpp,60,Im 2 col Layer,N P N N,7,1,1,2,2,P
class,Im2colLayer,CLASS,C++,cloned_repositories/caffe.git/include/caffe/layers/im2col_layer.hpp,60,Im 2 col Layer,N P N N,7,2,1,2,col,N
class,Im2colLayer,CLASS,C++,cloned_repositories/caffe.git/include/caffe/layers/im2col_layer.hpp,60,Im 2 col Layer,N P N N,7,3,2,2,layer,N
V1LayerParameter,v0_layer_connection,PARAMETER,C++,cloned_repositories/caffe.git/include/caffe/util/upgrade_proto.hpp,38,v 0 layer connection,N D NM N,8,0,0,5,v,N
V1LayerParameter,v0_layer_connection,PARAMETER,C++,cloned_repositories/caffe.git/include/caffe/util/upgrade_proto.hpp,38,v 0 layer connection,N D NM N,8,1,1,5,0,D
V1LayerParameter,v0_layer_connection,PARAMETER,C++,cloned_repositories/caffe.git/include/caffe/util/upgrade_proto.hpp,38,v 0 layer connection,N D NM N,8,2,1,5,layer,NM
V1LayerParameter,v0_layer_connection,PARAMETER,C++,cloned_repositories/caffe.git/include/caffe/util/upgrade_proto.hpp,38,v 0 layer connection,N D NM N,8,3,2,5,connection,N
shared_ptr,rank0,PARAMETER,C++,cloned_repositories/caffe.git/src/caffe/parallel.cpp,261,rank 0,N D,9,0,0,5,rank,N
shared_ptr,rank0,PARAMETER,C++,cloned_repositories/caffe.git/src/caffe/parallel.cpp,261,rank 0,N D,9,1,2,5,0,D
bool,kIm2Col,DECLARATION,C++,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,216,k Im 2 Col,NM N P N,10,0,0,3,k,NM
bool,kIm2Col,DECLARATION,C++,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,216,k Im 2 Col,NM N P N,10,1,1,3,im,N
bool,kIm2Col,DECLARATION,C++,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,216,k Im 2 Col,NM N P N,10,2,1,3,2,P
bool,kIm2Col,DECLARATION,C++,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,216,k Im 2 Col,NM N P N,10,3,2,3,col,N
bool,im2col,PARAMETER,C++,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,70,im 2 col,N P N,11,0,0,5,im,N
bool,im2col,PARAMETER,C++,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,70,im 2 col,N P N,11,1,1,5,2,P
bool,im2col,PARAMETER,C++,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,70,im 2 col,N P N,11,2,2,5,col,N
bool,UpgradeV1LayerParameter,FUNCTION,C++,cloned_repositories/caffe.git/src/caffe/util/upgrade_proto.cpp,692,Upgrade V 1 Layer Parameter,V N D NM N,12,0,0,4,upgrade,V
bool,UpgradeV1LayerParameter,FUNCTION,C++,cloned_repositories/caffe.git/src/caffe/util/upgrade_proto.cpp,692,Upgrade V 1 Layer Parameter,V N D NM N,12,1,1,4,v,N
bool,UpgradeV1LayerParameter,FUNCTION,C++,cloned_repositories/caffe.git/src/caffe/util/upgrade_proto.cpp,692,Upgrade V 1 Layer Parameter,V N D NM N,12,2,1,4,1,D
bool,UpgradeV1LayerParameter,FUNCTION,C++,cloned_repositories/caffe.git/src/caffe/util/upgrade_proto.cpp,692,Upgrade V 1 Layer Parameter,V N D NM N,12,3,1,4,layer,NM
bool,UpgradeV1LayerParameter,FUNCTION,C++,cloned_repositories/caffe.git/src/caffe/util/upgrade_proto.cpp,692,Upgrade V 1 Layer Parameter,V N D NM N,12,4,2,4,parameter,N
ccv_cnnp_model_t,conv0,DECLARATION,C,cloned_repositories/ccv.git/bin/nnc/coco.c,30,conv 0,N D,13,0,0,3,conv,N
ccv_cnnp_model_t,conv0,DECLARATION,C,cloned_repositories/ccv.git/bin/nnc/coco.c,30,conv 0,N D,13,1,2,3,0,D
Fts5Table,pFts5,ATTRIBUTE,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,240538,p Fts5,PRE PRE,14,0,0,1,p,PRE
Fts5Table,pFts5,ATTRIBUTE,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,240538,p Fts5,PRE PRE,14,1,2,1,fts5,PRE
int,bStat1,ATTRIBUTE,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,212677,b Stat 1,PRE N D,15,0,0,1,b,PRE
int,bStat1,ATTRIBUTE,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,212677,b Stat 1,PRE N D,15,1,1,1,stat,N
int,bStat1,ATTRIBUTE,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,212677,b Stat 1,PRE N D,15,2,2,1,1,D
void,sqlite3Fts3SegReaderFree,DECLARATION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,176881,sqlite3 Fts3 Seg Reader Free,PRE PRE NM N V,16,0,0,3,sqlite3,PRE
void,sqlite3Fts3SegReaderFree,DECLARATION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,176881,sqlite3 Fts3 Seg Reader Free,PRE PRE NM N V,16,1,1,3,fts3,PRE
void,sqlite3Fts3SegReaderFree,DECLARATION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,176881,sqlite3 Fts3 Seg Reader Free,PRE PRE NM N V,16,2,1,3,seg,NM
void,sqlite3Fts3SegReaderFree,DECLARATION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,176881,sqlite3 Fts3 Seg Reader Free,PRE PRE NM N V,16,3,1,3,reader,N
void,sqlite3Fts3SegReaderFree,DECLARATION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,176881,sqlite3 Fts3 Seg Reader Free,PRE PRE NM N V,16,4,2,3,free,V
int*,sqlite3_rtree_geometry_callback,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,204390,sqlite3 rtree geometry callback,PRE PRE NM N V,17,0,0,4,sqlite3,PRE
int*,sqlite3_rtree_geometry_callback,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,204390,sqlite3 rtree geometry callback,PRE PRE NM N V,17,1,1,4,rtree,PRE
int*,sqlite3_rtree_geometry_callback,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,204390,sqlite3 rtree geometry callback,PRE PRE NM N V,17,2,1,4,geometry,NM
int*,sqlite3_rtree_geometry_callback,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,204390,sqlite3 rtree geometry callback,PRE PRE NM N V,17,3,2,4,callback,N
int*,sqlite3Fts5ParserFallback,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,221291,sqlite3 Fts5 Parser Fallback,PRE PRE N V,18,0,0,4,sqlite3,PRE
int*,sqlite3Fts5ParserFallback,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,221291,sqlite3 Fts5 Parser Fallback,PRE PRE N V,18,1,1,4,fts5,PRE
int*,sqlite3Fts5ParserFallback,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,221291,sqlite3 Fts5 Parser Fallback,PRE PRE N V,18,2,1,4,parser,N
int*,sqlite3Fts5ParserFallback,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,221291,sqlite3 Fts5 Parser Fallback,PRE PRE N V,18,3,2,4,fallback,V
void,sqlite3Put4byte,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,34584,sqlite3 Put 4 byte,PRE V D N,19,0,0,4,sqlite3,PRE
void,sqlite3Put4byte,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,34584,sqlite3 Put 4 byte,PRE V D N,19,1,1,4,put,V
void,sqlite3Put4byte,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,34584,sqlite3 Put 4 byte,PRE V D N,19,2,1,4,4,D
void,sqlite3Put4byte,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,34584,sqlite3 Put 4 byte,PRE V D N,19,3,2,4,byte,N
void*,fts5SegIterClear,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,229592,fts5 Seg Iter Clear,PRE NM N V,20,0,0,4,fts5,PRE
void*,fts5SegIterClear,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,229592,fts5 Seg Iter Clear,PRE NM N V,20,1,1,4,seg,NM
void*,fts5SegIterClear,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,229592,fts5 Seg Iter Clear,PRE NM N V,20,2,1,4,iter,N
void*,fts5SegIterClear,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,229592,fts5 Seg Iter Clear,PRE NM N V,20,3,2,4,clear,V
void*,sqlite3Fts3HashInsert,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,185048,sqlite3 Fts3 Hash Insert,PRE PRE N V,21,0,0,4,sqlite3,PRE
void*,sqlite3Fts3HashInsert,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,185048,sqlite3 Fts3 Hash Insert,PRE PRE N V,21,1,1,4,fts3,PRE
void*,sqlite3Fts3HashInsert,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,185048,sqlite3 Fts3 Hash Insert,PRE PRE N V,21,2,1,4,hash,N
void*,sqlite3Fts3HashInsert,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,185048,sqlite3 Fts3 Hash Insert,PRE PRE N V,21,3,2,4,insert,V
With*,sqlite3WithDup,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,105114,sqlite3 With Dup,PRE P V,22,0,0,4,sqlite3,PRE
With*,sqlite3WithDup,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,105114,sqlite3 With Dup,PRE P V,22,1,1,4,with,P
With*,sqlite3WithDup,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,105114,sqlite3 With Dup,PRE P V,22,2,2,4,dup,V
fts5yyParser,fts5yypParser,PARAMETER,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,220383,fts5 yyp Parser,PRE NM N,23,0,0,5,fts5,PRE
fts5yyParser,fts5yypParser,PARAMETER,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,220383,fts5 yyp Parser,PRE NM N,23,1,1,5,yyp,NM
fts5yyParser,fts5yypParser,PARAMETER,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,220383,fts5 yyp Parser,PRE NM N,23,2,2,5,parser,N
