WORD,SWUM_TAG,POSSE_TAG,STANFORD_TAG,POSITION,MAXPOSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG
Add,V,V,V,0,3,0,0,V
Bezier,NM,N,N,1,3,1,0,NM
Curve,N,N,N,2,3,2,0,N
Add,V,V,V,0,4,0,0,V
Log,N,N,V,1,4,1,0,N
To,P,P,P,2,4,1,0,P
Stream,N,N,N,3,4,2,0,N
add,V,V,V,0,3,0,0,V
Object,NM,N,N,1,3,1,0,NM
Index,N,N,N,2,3,2,0,N
add,V,V,V,0,3,0,0,V
Ordered,NM,NM,NM,1,3,1,0,NM
List,N,N,N,2,3,2,0,N
add,V,V,V,0,6,0,0,V
Unicode,NM,N,N,1,6,1,0,NM
Script,NM,N,N,2,6,1,0,NM
Codes,N,N,NPL,3,6,1,0,NPL
To,P,P,P,4,6,1,0,P
Names,N,N,NPL,5,6,2,0,NPL
adjusted,V,NM,V,0,2,0,0,NM
Gradient,N,N,N,1,2,2,0,N
after,NM,P,P,0,2,0,0,P
Channel,N,N,N,1,2,2,0,N
all,DT,V,DT,0,4,0,0,DT
Open,NM,N,N,1,4,1,0,NM
Files,NM,N,N,2,4,1,0,NM
String,N,FAILURE,N,3,4,2,0,N
append,V,V,V,0,6,0,0,V
Python,NM,N,N,1,6,1,0,NM
Style,NM,N,N,2,6,1,0,N
Escaped,NM,NM,V,3,6,1,0,NM
Code,NM,N,N,4,6,1,0,NM
Point,N,N,N,5,6,2,0,N
append,V,V,V,0,2,0,0,V
Sequence,N,N,N,1,2,2,0,N
apply,V,V,V,0,3,0,0,V
Margin,NM,N,N,1,3,1,0,NM
Insets,N,N,NPL,2,3,2,0,NPL
ares,V,V,NPL,0,5,0,0,PRE
expand,NM,N,V,1,5,1,0,V
name,N,P,N,2,5,1,0,N
for,P,N,P,3,5,1,0,P
response,N,FAILURE,N,4,5,2,0,N
ARGB,PRE,FAILURE,N,0,4,0,0,N
Subtract,V,FAILURE,N,1,4,1,0,V
Row,NM,FAILURE,N,2,4,1,0,NM
C,NM,FAILURE,N,3,4,2,0,N
assign,V,V,V,0,4,0,0,V
Lexer,NM,N,N,1,4,1,0,NM
Token,NM,NM,N,2,4,1,0,NM
Types,N,N,N,3,4,2,0,NPL
AUD,V,N,N,0,3,0,0,PRE
Sound,NM,NM,N,1,3,1,0,NM
envelope,N,N,N,2,3,2,0,N
b3,PRE,V,V,0,4,0,0,PRE
Push,D,N,N,1,4,1,0,V
Profile,V,N,N,2,4,1,0,NM
Timing,NM,FAILURE,N,3,4,2,0,N
biggest,NM,NM,NM,0,2,0,0,NM
Constructor,N,N,N,1,2,2,0,N
binary,NM,NM,NM,0,3,0,0,NM
Search,NM,N,V,1,3,1,0,N
Bytes,N,N,NPL,2,3,2,0,NPL
BKE,V,N,V,0,4,0,0,PRE
lattice,NM,N,N,1,4,1,0,NM
index,NM,N,N,2,4,1,0,N
flip,N,V,V,3,4,2,0,V
BLI,V,N,N,0,4,0,0,PRE
str,NM,N,N,1,4,1,0,N
r,NM,N,N,2,4,1,0,VM
strip,N,V,N,3,4,2,0,V
build,V,V,V,0,3,0,0,V
Group,NM,N,N,1,3,1,0,NM
Query,N,N,N,2,3,2,0,N
build,V,V,V,0,4,0,0,V
Lexer,NM,N,N,1,4,1,0,NM
Rule,NM,N,N,2,4,1,0,NM
Actions,N,N,NPL,3,4,2,0,NPL
calc,V,N,V,0,2,0,0,V
LUT,N,N,N,1,2,2,0,N
check,V,V,V,0,3,0,0,V
GL,V,N,N,1,3,1,0,NM
Support,N,N,N,2,3,2,0,N
